title,revenue,budget,genres,release_date,original_language,profit
Mindhunters,21148829,27000000,"Mystery, Thriller, Crime",5/7/2004,en,-5851171
The Treasure of the Sierra Madre,4307000,3800000,"Adventure, Drama, Western",1/15/1948,en,507000
Nim's Island,100104565,37000000,"Adventure, Comedy, Family, Fantasy",4/3/2008,en,63104565
Frost/Nixon,18593156,25000000,"Drama, History",10/15/2008,en,-6406844
Star Trek V: The Final Frontier,70200000,30000000,"Science Fiction, Action, Adventure, Thriller",6/9/1989,en,40200000
Welcome to Marwen,12780692,39000000,"Animation, Drama, Comedy",12/21/2018,en,-26219308
The Wild Bunch,638641,6244087,Western,6/19/1969,en,-5605446
The Cider House Rules,88545092,24000000,Drama,12/17/1999,en,64545092
The Kite Runner,73276047,20000000,Drama,12/14/2007,en,53276047
The Jungle Book 2,135680000,20000000,"Family, Animation, Adventure",2/7/2003,en,115680000
Halloween 5: The Revenge of Michael Myers,11642254,3000000,"Horror, Thriller",10/12/1989,en,8642254
Big Game,7500000,8500000,"Action, Adventure, Thriller",9/5/2014,en,-1000000
Trespass,9612469,36000000,Thriller,10/13/2011,en,-26387531
Strange World,73621640,180000000,"Animation, Family, Adventure, Science Fiction",11/23/2022,en,-106378360
The Dukes of Hazzard,110803676,50000000,"Comedy, Adventure, Action",8/5/2005,en,60803676
Rumor Has It...,88933562,70000000,"Comedy, Romance",12/22/2005,en,18933562
The Painted Veil,26910847,19400000,"Romance, Drama",12/9/2006,en,7510847
If Beale Street Could Talk,20572691,12000000,"Romance, Drama",12/14/2018,en,8572691
Scanners,14225876,4100000,"Science Fiction, Horror",1/14/1981,en,10125876
Joy Ride,36642838,23000000,"Mystery, Thriller, Drama",10/5/2001,en,13642838
20th Century Women,5664764,7000000,Drama,12/28/2016,en,-1335236
The Nanny Diaries,47817020,20000000,"Comedy, Drama, Romance",8/24/2007,en,27817020
Dracula,700000,355000,"Horror, Drama, Fantasy",2/12/1931,en,345000
The Professor and the Madman,4957273,25000000,"History, Drama, Mystery, Thriller",3/7/2019,en,-20042727
Timecop,101646581,27000000,"Thriller, Science Fiction, Action, Crime",9/15/1994,en,74646581
Suite Française,9104716,15000000,"Drama, Romance, War",3/12/2015,en,-5895284
The Sandlot,34348444,7000000,"Family, Comedy",4/7/1993,en,27348444
A Hologram for the King,4212494,30000000,"Comedy, Drama",4/22/2016,en,-25787506
The Thomas Crown Affair,124305181,48000000,"Drama, Crime, Romance",8/6/1999,en,76305181
Operation Fortune: Ruse de Guerre,37846713,50000000,"Action, Thriller, Comedy",1/4/2023,en,-12153287
My Bloody Valentine,102836002,15000000,"Mystery, Horror",1/16/2009,en,87836002
Police Academy 4: Citizens on Patrol,76800000,17000000,"Comedy, Crime",4/2/1987,en,59800000
Uncle Buck,79258538,15000000,"Comedy, Drama, Family",8/16/1989,en,64258538
The Man with the Iron Fists,20546518,15000000,Action,11/2/2012,en,5546518
Enough,51801187,38000000,"Drama, Thriller",5/21/2002,en,13801187
Ghost Dog: The Way of the Samurai,9400000,2000000,"Crime, Drama",6/2/1999,en,7400000
The Good Shepherd,100266865,85000000,"Drama, Thriller, History",12/11/2006,en,15266865
The New World,30536013,30000000,"Drama, History, Romance",12/25/2005,en,536013
Dangerous Liaisons,34670720,14000000,"Drama, Romance",12/21/1988,en,20670720
Captive State,8808611,25000000,"Science Fiction, Action, Horror, Thriller",3/15/2019,en,-16191389
Disconnect,3428048,10000000,"Drama, Thriller",9/11/2012,en,-6571952
Jackass Number Two,72778712,11000000,"Action, Comedy, Documentary",9/22/2006,en,61778712
The Forgotten,117592831,42000000,"Thriller, Drama, Mystery, Science Fiction",9/24/2004,en,75592831
Dangerous Minds,179519401,23000000,Drama,8/11/1995,en,156519401
Confessions of a Dangerous Mind,33013805,30000000,"Comedy, Crime, Drama",12/31/2002,en,3013805
The Kings of Summer,1400000,1500000,"Comedy, Drama",1/19/2013,en,-100000
Out of Time,55495563,50000000,"Thriller, Crime, Drama",10/3/2003,en,5495563
Ladyhawke,18432000,20000000,"Adventure, Comedy, Fantasy",3/27/1985,en,-1568000
Caddyshack,39846344,6000000,Comedy,7/25/1980,en,33846344
Punisher: War Zone,10089373,20500000,"Action, Crime",12/5/2008,en,-10410627
While We're Young,17287309,10000000,"Comedy, Drama, Mystery",4/3/2015,en,7287309
Phenomenon,152036382,32000000,"Drama, Romance, Science Fiction",7/5/1996,en,120036382
Wolf Creek,30894796,1000000,"Horror, Thriller",9/16/2005,en,29894796
Teen Titans Go! To the Movies,28646544,10000000,"Animation, Action, Comedy, Science Fiction",7/27/2018,en,18646544
Frailty,17423030,11000000,"Drama, Thriller, Crime",11/17/2001,en,6423030
Act of Valor,82499399,12000000,"Action, Thriller, War",2/24/2012,en,70499399
Friday the 13th Part VI: Jason Lives,19472057,3000000,"Horror, Mystery, Thriller",8/1/1986,en,16472057
The Jewel of the Nile,96773200,25000000,"Adventure, Action, Comedy, Romance",8/1/1985,en,71773200
Four Lions,6149356,967686,"Comedy, Crime, Drama",5/7/2010,en,5181670
40 Days and 40 Nights,95146283,17000000,"Comedy, Romance",3/1/2002,en,78146283
Top Secret!,20458340,9000000,Comedy,6/8/1984,en,11458340
Tracers,593683,11000000,Action,1/15/2015,en,-10406317
Labor Day,20275812,18000000,Drama,12/27/2013,en,2275812
Downton Abbey,192199131,20000000,"Drama, Romance, History",9/12/2019,en,172199131
'71,3200000,11000000,"Thriller, Action, Drama, War",10/10/2014,en,-7800000
Black Knight,33422806,50000000,"Comedy, Fantasy, Adventure",11/21/2001,en,-16577194
The Saint,118063304,68000000,"Thriller, Action, Romance, Science Fiction, Adventure",4/3/1997,en,50063304
Death Sentence,16974459,20000000,"Action, Crime, Drama, Thriller",8/31/2007,en,-3025541
The Gods Must Be Crazy,60000000,5000000,"Action, Comedy",9/10/1980,en,55000000
High Plains Drifter,15700000,5500000,"Western, Drama, Mystery",4/19/1973,en,10200000
The Outlaw Josey Wales,31800000,3700000,Western,6/30/1976,en,28100000
Blue Beetle,124818235,120000000,"Action, Science Fiction, Adventure",8/16/2023,en,4818235
Diary of a Wimpy Kid: Rodrick Rules,72526996,21000000,"Family, Comedy",3/25/2011,en,51526996
Goal!,27610873,10000000,Drama,9/29/2005,en,17610873
The Horse Whisperer,186883563,60000000,"Adventure, Drama, Romance",2/1/1998,en,126883563
Lake Placid,56870414,27000000,"Horror, Comedy, Action, Science Fiction, Thriller",7/15/1999,en,29870414
Stillwater,19754272,20000000,"Drama, Crime, Thriller",7/29/2021,en,-245728
Three Days of the Condor,41509797,7800000,"Thriller, Mystery",9/24/1975,en,33709797
The Descent: Part 2,7048886,6000200,"Adventure, Horror, Thriller",10/14/2009,en,1048686
Doctor Zhivago,111858363,11000000,"Drama, Romance, War",12/22/1965,en,100858363
My Own Private Idaho,6401336,2500000,Drama,2/1/1991,en,3901336
The Good Liar,33856058,10000000,Crime,11/8/2019,en,23856058
Wolfwalkers,1266570,12000000,"Animation, Family, Adventure, Fantasy",10/26/2020,en,-10733430
Bandidas,18381890,35000000,"Action, Comedy, Western, Crime",1/18/2006,en,-16618110
Four Christmases,164112721,80000000,"Comedy, Romance, Drama",11/26/2008,en,84112721
The Haunting in Connecticut,77527732,10000000,"Thriller, Horror",3/27/2009,en,67527732
Free Fire,3719383,7000000,"Action, Crime, Mystery",3/31/2017,en,-3280617
Teen Wolf,80000000,1200000,"Comedy, Fantasy, Romance",8/23/1985,en,78800000
Bad Lieutenant: Port of Call - New Orleans,10589102,25000000,"Drama, Crime",9/11/2009,en,-14410898
Renfield,26348156,65000000,"Comedy, Horror, Fantasy",4/7/2023,en,-38651844
The Money Pit,54999651,10000000,"Comedy, Romance",3/26/1986,en,44999651
After.Life,3606395,4500000,"Drama, Horror, Mystery, Thriller",11/7/2009,en,-893605
Hard Target,74189677,18000000,"Action, Adventure, Crime, Thriller",4/27/1993,en,56189677
The Birdcage,185260553,31000000,Comedy,3/8/1996,en,154260553
The Way Back,14590514,23000000,Drama,3/5/2020,en,-8409486
The War of the Roses,160188546,26000000,"Comedy, Drama",12/8/1989,en,134188546
Everybody Wants Some!!,3400278,10000000,Comedy,3/30/2016,en,-6599722
A Dog's Way Home,17643857,18000000,"Drama, Adventure, Family",1/10/2019,en,-356143
The Client,117615211,45000000,"Drama, Thriller, Crime, Mystery",7/20/1994,en,72615211
Maps to the Stars,1338365,15000000,Drama,5/21/2014,en,-13661635
Pretty in Pink,40471663,9000000,"Comedy, Romance, Drama",2/28/1986,en,31471663
Agent Cody Banks,58795814,28000000,"Action, Adventure, Comedy, Family",3/14/2003,en,30795814
Kids,20412216,1500000,"Drama, Crime",7/28/1995,en,18912216
Friday the 13th: A New Beginning,21930418,2200000,"Horror, Mystery, Comedy",3/22/1985,en,19730418
TMNT,95608995,34000000,"Adventure, Animation, Comedy, Family",3/23/2007,en,61608995
Marnie,7000000,2135000,"Thriller, Mystery, Drama, Romance, Crime",7/17/1964,en,4865000
Crocodile Dundee II,239606210,14000000,"Adventure, Comedy",5/19/1988,en,225606210
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,25000000,"Science Fiction, Adventure, Action, Comedy, Family",3/22/1991,en,53656813
The Man Who Shot Liberty Valance,8000000,3200000,Western,4/15/1962,en,4800000
The Black Dahlia,49111202,50000000,"Crime, Thriller, Drama",9/15/2006,en,-888798
Veronica Mars,3485127,6000000,"Comedy, Drama, Crime",3/13/2014,en,-2514873
Last Knights,3643591,40000000,"Action, Adventure",4/3/2015,en,-36356409
Cirque du Freak: The Vampire's Assistant,28169671,40000000,"Adventure, Fantasy, Action, Thriller",10/23/2009,en,-11830329
The Dark Crystal,40577001,15000000,"Adventure, Family, Fantasy, Animation",12/17/1982,en,25577001
The Midnight Meat Train,3533227,15000000,"Horror, Mystery, Fantasy",8/7/2008,en,-11466773
An Officer and a Gentleman,129795554,7500000,"Drama, Romance",7/28/1982,en,122295554
The Aeronauts,3485251,40000000,"Adventure, Drama, Romance",11/4/2019,en,-36514749
Titan A.E.,36754634,75000000,"Animation, Action, Science Fiction, Family, Adventure",6/16/2000,en,-38245366
The Mothman Prophecies,55305279,32000000,"Drama, Horror, Mystery",1/25/2002,en,23305279
Elizabethtown,52164016,57000000,"Comedy, Drama, Romance",10/14/2005,en,-4835984
Stagecoach,1103757,531374,"Western, Adventure",3/3/1939,en,572383
The Sweetest Thing,68696770,43000000,"Romance, Comedy",4/12/2002,en,25696770
Robot & Frank,3325038,2500000,"Science Fiction, Comedy, Drama, Crime",8/16/2012,en,825038
Striptease,113309743,50000000,"Comedy, Crime, Drama",6/28/1996,en,63309743
The People vs. Larry Flynt,20300385,36000000,Drama,12/25/1996,en,-15699615
Pearl,9423445,1000000,"Horror, Drama",9/16/2022,en,8423445
The Day the Earth Stood Still,1850000,995000,"Drama, Science Fiction, Thriller",9/28/1951,en,855000
The Physician,57284237,36000000,"Adventure, Drama, History",12/25/2013,en,21284237
Nine Lives,57814445,30000000,"Fantasy, Comedy, Family",8/3/2016,en,27814445
One Direction: This Is Us,68500000,10000000,"Documentary, Music",8/29/2013,en,58500000
Barely Lethal,933847,15000000,"Adventure, Comedy, Action, Romance",4/23/2015,en,-14066153
High Life,2133033,8933400,"Science Fiction, Drama, Mystery",9/26/2018,en,-6800367
Justice League: War,5155325,3500000,"Animation, Action",1/21/2014,en,1655325
Mimic,25480490,30000000,"Fantasy, Horror, Thriller, Science Fiction",8/22/1997,en,-4519510
Bullitt,42300873,5500000,"Action, Crime, Thriller",10/17/1968,en,36800873
The Pirates! In an Adventure with Scientists!,123054041,60000000,"Animation, Adventure, Family, Comedy",3/12/2012,en,63054041
Changing Lanes,94935764,45000000,Thriller,4/7/2002,en,49935764
Breakthrough,49231674,14000000,Drama,4/10/2019,en,35231674
Assault on Precinct 13,35294470,30000000,"Thriller, Action, Adventure, Crime",1/19/2005,en,5294470
Super Troopers,18492362,1200000,"Comedy, Crime, Mystery",2/15/2001,en,17292362
Open Water,54667954,130000,"Drama, Thriller, Horror",10/26/2003,en,54537954
Barnyard,116476887,51000000,"Animation, Comedy, Family",8/4/2006,en,65476887
Stigmata,50041732,29000000,"Horror, Thriller",9/10/1999,en,21041732
88 Minutes,32593385,30000000,"Crime, Mystery, Thriller",2/14/2007,en,2593385
Gosford Park,87754044,19800000,"Drama, Mystery, Thriller",11/7/2001,en,67954044
Like Crazy,3542353,250000,"Drama, Romance",10/28/2011,en,3292353
The Bad Batch,180851,6000000,"Drama, Horror, Science Fiction",6/23/2017,en,-5819149
Finding Forrester,80049764,43000000,Drama,12/21/2000,en,37049764
Sydney White,13620075,16500000,Comedy,9/21/2007,en,-2879925
Hellbound: Hellraiser II,12090735,3000000,"Horror, Thriller",12/23/1988,en,9090735
Ghosts of Mars,14010832,28000000,"Action, Horror, Science Fiction",8/24/2001,en,-13989168
The Current War,12217160,30000000,"Drama, History",2/1/2018,en,-17782840
The Golden Child,79817939,25000000,"Action, Adventure, Comedy",12/12/1986,en,54817939
Keanu,20609977,15000000,"Action, Comedy, Crime",4/21/2016,en,5609977
Halloween: The Curse of Michael Myers,15116634,5000000,"Horror, Thriller",9/29/1995,en,10116634
Beverly Hills Chihuahua,149281606,20000000,"Comedy, Family, Adventure, Romance",10/3/2008,en,129281606
Don't Be Afraid of the Dark,36993168,25000000,"Fantasy, Horror, Thriller",11/6/2010,en,11993168
Timeline,43935763,80000000,"Action, Adventure, Science Fiction",11/26/2003,en,-36064237
Talk to Me,72600000,4500000,"Horror, Thriller",7/26/2023,en,68100000
Patton,89800000,12000000,"War, Drama, History",1/25/1970,en,77800000
Whip It,16633035,15000000,Drama,4/9/2009,en,1633035
Beasts of the Southern Wild,21107746,1800000,"Drama, Fantasy",6/29/2012,en,19307746
The Wild,102338515,80000000,"Family, Animation",4/6/2006,en,22338515
Arlington Road,41067311,31000000,"Crime, Drama, Thriller, Mystery",3/19/1999,en,10067311
Inland Empire,4045770,15000000,"Mystery, Thriller, Horror",9/6/2006,en,-10954230
The Postman,17626234,80000000,"Science Fiction, Adventure, Action, War",12/25/1997,en,-62373766
Batman: Mask of the Phantasm,5617391,6000000,"Action, Animation, Crime, Mystery",12/25/1993,en,-382609
Road House,30050028,15000000,"Action, Thriller",5/19/1989,en,15050028
It's a Boy Girl Thing,7385434,15500000,"Comedy, Fantasy, Romance",7/15/2006,en,-8114566
Serena,5092129,30000000,Drama,10/12/2014,en,-24907871
Black Rain,134212055,30000000,"Drama, Action, Thriller",9/22/1989,en,104212055
Something Borrowed,65090821,35000000,"Comedy, Drama, Romance",5/5/2011,en,30090821
White Boy Rick,26000000,29000000,"Crime, Drama",9/14/2018,en,-3000000
The Endless,956425,1000000,"Science Fiction, Horror, Thriller",11/5/2017,en,-43575
Antlers,18867659,17000000,"Drama, Horror, Mystery",10/28/2021,en,1867659
American Animals,2847319,3000000,"Drama, Crime, Documentary",6/1/2018,en,-152681
When a Stranger Calls,67062123,15000000,"Horror, Mystery",2/3/2006,en,52062123
Reign Over Me,22222308,20000000,Drama,3/22/2007,en,2222308
The Woman in Black 2: Angel of Death,48854305,15000000,"Thriller, Horror, Drama",12/30/2014,en,33854305
Stan & Ollie,24420923,10000000,"Comedy, Drama",12/28/2018,en,14420923
Sleeping with the Enemy,174999005,19000000,"Drama, Crime, Thriller",1/13/1991,en,155999005
Three Thousand Years of Longing,20282422,60000000,"Drama, Adventure, Fantasy, Romance",8/24/2022,en,-39717578
Sanctum,108609310,30000000,"Action, Thriller",2/3/2011,en,78609310
Disaster Movie,14109284,25000000,"Comedy, Science Fiction",8/29/2008,en,-10890716
Manhattan Murder Mystery,11285588,13500000,"Comedy, Mystery",5/2/1993,en,-2214412
The Omen,119975084,25000000,Horror,6/6/2006,en,94975084
The Pyramid,16861137,6500000,Horror,12/4/2014,en,10361137
The Water Horse,103071443,40000000,"Family, Adventure, Fantasy",12/25/2007,en,63071443
Absolute Power,50068310,50000000,"Crime, Drama, Action",2/14/1997,en,68310
Midnight Run,38413606,30000000,"Crime, Comedy, Action, Adventure",7/20/1988,en,8413606
Crazy Heart,47405566,7000000,"Drama, Music, Romance",12/16/2009,en,40405566
The Santa Clause 3: The Escape Clause,84500122,12000000,"Comedy, Family, Adventure",11/2/2006,en,72500122
Taxi,71255003,25000000,"Action, Comedy, Thriller, Crime",10/6/2004,en,46255003
Chaplin,9493259,31000000,Drama,12/17/1992,en,-21506741
Invasion of the Body Snatchers,3000000,417000,"Horror, Science Fiction",2/5/1956,en,2583000
Return to Oz,11137801,25000000,"Adventure, Family, Fantasy",6/21/1985,en,-13862199
The Eye,58010320,12000000,"Drama, Horror, Thriller",2/1/2008,en,46010320
Beginners,14311701,3200000,"Drama, Romance, Comedy",9/16/2010,en,11111701
Marathon Man,21709020,6500000,Thriller,10/8/1976,en,15209020
Blacklight,15902207,43000000,"Action, Thriller",2/10/2022,en,-27097793
Queen of the Damned,45479110,35000000,"Drama, Fantasy, Horror",2/10/2002,en,10479110
The Age of Innocence,32255440,34000000,"Drama, Romance",9/10/1993,en,-1744560
Camp X-Ray,59744,1000000,Drama,10/17/2014,en,-940256
Blast from the Past,40263020,35000000,"Drama, Romance, Comedy",2/12/1999,en,5263020
Look Who's Talking Now!,10340263,22000000,"Romance, Comedy, Family",11/5/1993,en,-11659737
Osmosis Jones,13596911,75000000,"Adventure, Animation, Action, Comedy, Family",8/10/2001,en,-61403089
Bottle Rocket,1040879,7000000,"Comedy, Crime, Drama",2/21/1996,en,-5959121
Open Range,68296293,22000000,"Western, Action, Drama, Adventure, Romance",8/29/2003,en,46296293
The To Do List,3566225,1500000,"Comedy, Romance",7/24/2013,en,2066225
The Young Victoria,29196409,35000000,"Drama, History, Romance",3/4/2009,en,-5803591
Basic,42792561,50000000,"Action, Drama, Mystery, Thriller, Crime",4/18/2003,en,-7207439
On the Basis of Sex,38673750,20000000,"Drama, History",12/25/2018,en,18673750
Pale Rider,41410568,6900000,Western,6/28/1985,en,34510568
Double Impact,30102717,15000000,"Thriller, Action, Crime, Drama",7/31/1991,en,15102717
Piranha 3DD,8493728,5000000,"Horror, Thriller, Comedy",5/11/2012,en,3493728
Chain Reaction,60209334,50000000,"Science Fiction, Action, Drama, Thriller",8/2/1996,en,10209334
Jersey Girl,35492921,35000000,"Comedy, Romance, Drama",3/25/2004,en,492921
Braven,854319,5000000,"Drama, Action, Thriller",2/1/2018,en,-4145681
Machine Gun Preacher,2527904,30000000,"Action, Thriller, Crime",9/23/2011,en,-27472096
Stealth,76932943,135000000,Science Fiction,7/27/2005,en,-58067057
Vertical Limit,215663859,75000000,"Adventure, Action, Thriller",12/8/2000,en,140663859
Naked Lunch,2641357,16000000,"Crime, Drama",12/27/1991,en,-13358643
Harry Brown,10329747,7300000,"Thriller, Crime, Drama, Action",11/11/2009,en,3029747
Running Scared,9500000,17000000,"Action, Crime, Drama, Thriller",1/6/2006,en,-7500000
The Last Exorcism,69432527,1800000,"Horror, Thriller, Mystery",8/27/2010,en,67632527
Stolen,2106557,35000000,"Action, Crime, Thriller",9/6/2012,en,-32893443
Invasion of the Body Snatchers,24946533,3500000,"Science Fiction, Horror",12/20/1978,en,21446533
Bringing Out the Dead,16800000,32000000,Drama,10/22/1999,en,-15200000
Mr. Smith Goes to Washington,9600000,1500000,"Comedy, Drama",10/19/1939,en,8100000
Drillbit Taylor,32853640,40000000,Comedy,2/4/2008,en,-7146360
Bangkok Dangerous,42487390,45000000,"Action, Crime, Thriller",8/21/2008,en,-2512610
Chaos,7000000,30000000,"Drama, Action, Crime",1/17/2005,en,-23000000
The Hurricane Heist,32517248,35000000,"Action, Crime, Thriller",2/28/2018,en,-2482752
Derailed,57479076,22000000,"Drama, Thriller",11/11/2005,en,35479076
The Happytime Murders,27506452,40000000,"Action, Comedy, Crime",8/22/2018,en,-12493548
All Dogs Go to Heaven,27100027,13800000,"Drama, Animation, Family, Comedy, Fantasy",11/17/1989,en,13300027
A River Runs Through It,43440294,12000000,"Drama, Family",10/9/1992,en,31440294
Red Planet,33463969,80000000,"Thriller, Action, Science Fiction",11/10/2000,en,-46536031
Lionheart,24271196,6000000,Action,6/7/1990,en,18271196
The Fifth Estate,8555008,28000000,"Drama, Thriller",10/11/2013,en,-19444992
Cocoon: The Return,25024919,17500000,"Comedy, Science Fiction",9/13/1988,en,7524919
Wayne's World 2,48198019,40000000,"Comedy, Music",12/10/1993,en,8198019
Aliens in the Attic,57881056,45000000,"Adventure, Comedy, Family, Fantasy, Science Fiction",7/30/2009,en,12881056
Life of the Party,61700416,30000000,Comedy,5/10/2018,en,31700416
The Grudge 2,39143839,20000000,"Horror, Thriller",10/12/2006,en,19143839
The Last Temptation of Christ,8373585,7000000,Drama,5/28/1988,en,1373585
Lakeview Terrace,27640028,20000000,"Drama, Crime, Thriller",9/19/2008,en,7640028
In the Heat of the Night,27379978,2000000,"Crime, Drama, Mystery, Thriller",8/2/1967,en,25379978
The Hudsucker Proxy,2800000,25000000,"Comedy, Drama",3/11/1994,en,-22200000
Beyond Skyline,992181,20000000,"Action, Science Fiction, Adventure",10/20/2017,en,-19007819
Seeking Justice,14089528,17000000,"Action, Drama, Thriller",9/2/2011,en,-2910472
Dreamgirls,154937680,70000000,"Drama, Music",12/25/2006,en,84937680
Entourage,49263404,30000000,Comedy,6/3/2015,en,19263404
My Big Fat Greek Wedding 2,90632641,18000000,"Romance, Comedy",3/23/2016,en,72632641
Election,14902041,25000000,"Comedy, Drama",4/23/1999,en,-10097959
The Lego Ninjago Movie,123081555,70000000,"Family, Animation, Action, Adventure, Comedy",9/21/2017,en,53081555
All About Steve,40105542,15000000,Comedy,8/6/2009,en,25105542
Jaws: The Revenge,51881013,23000000,"Adventure, Thriller, Horror",7/17/1987,en,28881013
The Outpost,2133452,18000000,"War, Drama, History, Action",6/24/2020,en,-15866548
M*A*S*H,81600000,3500000,"Comedy, Drama, War",2/18/1970,en,78100000
Murder by Numbers,56714147,50000000,"Crime, Drama, Thriller",4/19/2002,en,6714147
Dark Water,68357079,30000000,"Horror, Mystery",7/8/2005,en,38357079
The Iceman,1969193,20000000,"Thriller, Crime, Drama",9/1/2012,en,-18030807
The Next Karate Kid,15876353,12000000,"Action, Drama, Family, Adventure",7/18/1994,en,3876353
The Big Sleep,4900000,1600000,"Crime, Mystery, Romance",8/23/1946,en,3300000
Weekend at Bernie's,30218387,6500000,"Comedy, Crime",7/5/1989,en,23718387
Apollo 18,25562924,5000000,"Horror, Thriller, Science Fiction",7/20/2011,en,20562924
Heartbreak Ridge,42724017,15000000,"War, Drama, Comedy",12/5/1986,en,27724017
The Covenant,37597471,20000000,"Fantasy, Horror, Adventure, Action",9/8/2006,en,17597471
Friday the 13th Part VIII: Jason Takes Manhattan,14000000,5000000,Horror,7/28/1989,en,9000000
One for the Money,36893721,40000000,"Action, Comedy, Crime",1/26/2012,en,-3106279
In the Valley of Elah,29541790,23000000,"History, Drama, Thriller, Crime, Mystery",9/14/2007,en,6541790
Howard the Duck,37962774,37000000,"Comedy, Fantasy, Science Fiction",8/1/1986,en,962774
Get Shorty,115101622,30250000,"Comedy, Thriller, Crime",10/20/1995,en,84851622
Escape from the Planet of the Apes,12348905,2500000,"Action, Science Fiction",5/20/1971,en,9848905
The Purple Rose of Cairo,10631333,15000000,"Fantasy, Comedy, Romance",3/1/1985,en,-4368667
Wimbledon,41512007,31000000,"Comedy, Romance",9/13/2004,en,10512007
The Ghost and the Darkness,38619405,50000000,"Adventure, Action, Thriller",10/11/1996,en,-11380595
Friday the 13th Part VII: The New Blood,19170001,2800000,Horror,5/13/1988,en,16370001
Frantic,17637950,20000000,"Thriller, Mystery",2/19/1988,en,-2362050
Slow West,229094,2000000,"Western, Action, Thriller, Drama",5/15/2015,en,-1770906
TÁR,29182623,35000000,"Drama, Music",9/23/2022,en,-5817377
3 Men and a Baby,242780960,11000000,Comedy,11/27/1987,en,231780960
The Turning,19428166,14000000,"Horror, Thriller",1/23/2020,en,5428166
Hannah and Her Sisters,40084041,6400000,"Comedy, Drama",2/7/1986,en,33684041
Psycho,37141130,60000000,"Mystery, Thriller, Horror",12/4/1998,en,-22858870
The Swan Princess,9771658,20000000,"Family, Animation, Fantasy, Adventure, Comedy",11/18/1994,en,-10228342
Adore,1575749,16000000,Drama,4/3/2013,en,-14424251
Spy Kids: All the Time in the World,85564310,27000000,"Family, Comedy, Action",8/18/2011,en,58564310
The Prodigy,21150265,6000000,"Horror, Thriller",2/6/2019,en,15150265
The Pledge,29419291,35000000,"Crime, Drama, Mystery, Thriller",1/19/2001,en,-5580709
Passenger 57,44065653,15000000,"Action, Adventure, Thriller",11/6/1992,en,29065653
Table 19,5042014,5000000,"Comedy, Drama",3/3/2017,en,42014
Creepshow,21028755,8000000,"Horror, Comedy",11/10/1982,en,13028755
28 Days,6219894,43000000,"Comedy, Drama",4/6/2000,en,-36780106
Beethoven's 2nd,118243066,15000000,"Family, Comedy",12/14/1993,en,103243066
Cujo,21200000,5000000,"Horror, Thriller",8/10/1983,en,16200000
Appaloosa,20211394,20000000,"Drama, Western, Crime",9/19/2008,en,211394
K-19: The Widowmaker,35168966,100000000,"Drama, History, War, Thriller, Mystery",7/19/2002,en,-64831034
Rubber,98017,500000,"Comedy, Drama, Fantasy, Horror, Mystery",11/9/2010,en,-401983
Gridiron Gang,41480851,30000000,"Crime, Drama",9/15/2006,en,11480851
Time Bandits,42365581,5000000,"Family, Fantasy, Science Fiction, Adventure, Comedy",7/13/1981,en,37365581
Hudson Hawk,17218080,65000000,"Action, Adventure, Comedy",5/23/1991,en,-47781920
Date Movie,48548426,20000000,"Comedy, Romance",2/17/2006,en,28548426
Did You Hear About the Morgans?,85280250,58000000,"Comedy, Drama, Romance",12/17/2009,en,27280250
Children of the Corn,14568989,800000,"Horror, Thriller",3/9/1984,en,13768989
Say Anything...,20036737,16000000,"Romance, Comedy, Drama",4/14/1989,en,4036737
The Glass House,23619609,30000000,"Drama, Thriller",9/14/2001,en,-6380391
The Miseducation of Cameron Post,2019874,900000,Drama,7/18/2018,en,1119874
Death at a Funeral,49050886,21000000,Comedy,4/15/2010,en,28050886
Showtime,77885672,85000000,"Action, Comedy",3/14/2002,en,-7114328
Everybody's Fine,16443609,21000000,Drama,12/4/2009,en,-4556391
Cry Macho,16481544,33000000,"Drama, Western",9/16/2021,en,-16518456
How Do You Know,48668907,120000000,"Comedy, Drama, Romance",12/17/2010,en,-71331093
The Roommate,52545707,16000000,"Thriller, Drama, Horror",2/4/2011,en,36545707
Are We There Yet?,97918663,32000000,"Family, Adventure, Comedy, Romance",1/20/2005,en,65918663
Nine 1/2 Weeks,6735922,17000000,"Romance, Drama",2/9/1986,en,-10264078
The Spirit,39031337,60000000,"Action, Comedy, Crime, Fantasy",12/25/2008,en,-20968663
Bandits,67631903,75000000,"Comedy, Crime",10/12/2001,en,-7368097
Excalibur,34967437,11000000,"Adventure, Fantasy",4/10/1981,en,23967437
Cats,73515024,95000000,"Fantasy, Comedy, Drama",12/19/2019,en,-21484976
Little Children,14821658,26000000,"Drama, Romance",10/6/2006,en,-11178342
A Little Princess,10015449,17000000,"Drama, Family, Fantasy",5/10/1995,en,-6984551
The Weather Man,12482775,20000000,"Comedy, Drama",10/20/2005,en,-7517225
Our Idiot Brother,24816118,5000000,"Comedy, Drama",8/26/2011,en,19816118
"Good Night, and Good Luck.",54600000,7000000,"Drama, History",9/16/2005,en,47600000
Ghost Town,27090159,20000000,"Drama, Comedy, Fantasy",9/19/2008,en,7090159
The Nut Job,122529966,42000000,"Animation, Comedy, Family, Adventure",1/17/2014,en,80529966
The Gallows,42964410,100000,"Horror, Thriller",7/9/2015,en,42864410
Dracula: Dead and Loving It,10772144,30000000,"Comedy, Horror",12/22/1995,en,-19227856
